Zenith      Alcatel_1  Alcatel_2  Starec_1  Starec_2
  +81.0000    +4.0740    +0.0000   +14.5420    +0.0000
  +81.3000    +3.7992    +0.0000   +14.7466    +0.0000
  +81.6000    +3.5244    +0.0000   +14.9512    +0.0000
  +81.9000    +3.2496    +0.0000   +15.1558    +0.0000
  +82.2000    +2.9748    +0.0000   +15.3604    +0.0000
  +82.5000    +2.7000    +0.0000   +15.5650    +0.0000
  +82.8000    +2.4252    +0.0000   +15.7696    +0.0000
  +83.1000    +2.1504    +0.0000   +15.9742    +0.0000
  +83.4000    +1.8756    +0.0000   +16.1788    +0.0000
  +83.7000    +1.6008    +0.0000   +16.3834    +0.0000
  +84.0000    +1.3260    +0.0000   +16.5880    +0.0000
  +84.3000    +1.0512    +0.0000   +16.7926    +0.0000
  +84.6000    +0.7764    +0.0000   +16.9972    +0.0000
  +84.9000    +0.5016    +0.0000   +17.2018    +0.0000
  +85.2000    +0.2364    +0.0000   +17.4740    +0.0000
  +85.5000    -0.0240    +0.0000   +17.7800    +0.0000
  +85.8000    -0.2844    +0.0000   +18.0860    +0.0000
  +86.1000    -0.5448    +0.0000   +18.3920    +0.0000
  +86.4000    -0.8052    +0.0000   +18.6980    +0.0000
  +86.7000    -1.0656    +0.0000   +19.0040    +0.0000
  +87.0000    -1.3260    +0.0000   +19.3100    +0.0000
  +87.3000    -1.5864    +0.0000   +19.6160    +0.0000
  +87.6000    -1.8468    +0.0000   +19.9220    +0.0000
  +87.9000    -2.1072    +0.0000   +20.2280    +0.0000
  +88.2000    -2.3676    +0.0000   +20.5340    +0.0000
  +88.5000    -2.6280    +0.0000   +20.8400    +0.0000
  +88.8000    -2.8884    +0.0000   +21.1460    +0.0000
  +89.1000    -3.1488    +0.0000   +21.4520    +0.0000
  +89.4000    -3.4092    +0.0000   +21.7580    +0.0000
  +89.7000    -3.6696    +0.0000   +22.0640    +0.0000
  +90.0000    -3.9300    +0.0000   +22.3700    +0.0000
